0,0,0,0
1,7,4,3
2,15,8,8
3,31,17,20
4,54,31,67
5,86,49,53
6,165,70,116
7,208,97,106
8,284,123,173
9,342,196,213
10,454,202,251
11,585,244,301
12,703,290,352
13,877,360,431
14,1007,454,491
15,1167,486,591
16,1332,567,663
17,1539,657,716
18,1827,697,790
19,2087,801,912
20,2417,859,992
all tests passed
0,0,0,0,0
1,4,2,2,0
2,14,8,9,0
3,31,17,19,1
4,55,31,35,1
5,86,48,54,1
6,127,69,78,2
7,176,95,106,1
8,234,123,139,2
9,307,156,175,2
10,387,192,217,3
11,484,233,262,3
12,596,277,313,2
13,721,326,369,3
14,870,378,423,3
15,1031,433,487,3
16,1207,492,553,3
17,1403,556,625,4
18,1600,623,700,4
19,1834,693,780,5
20,2072,769,866,5
all tests passed
